rejected_attention_fraction,peer_true_value,triage_true_value,delta_peer_minus_triage,delta_sd,peer_win_fraction,peer_false_recognition,triage_false_recognition,peer_calibration_mse,triage_calibration_mse,delta_se,ci_low,ci_high
0.0,0.7674312359578989,0.842537996767207,-0.07510676080930817,0.1054038539197163,0.25,0.0020428474348479185,0.0005130392407565889,0.05950734020148553,0.03613077721780969,0.006085494343417219,-0.08703432972240592,-0.06317919189621042
0.05,0.7698205038874529,0.842537996767207,-0.07271749287975411,0.0987419702361664,0.25666666666666665,0.003556477068852652,0.0005130392407565889,0.056959821083263536,0.03613077721780969,0.005700870309616468,-0.08389119868660239,-0.06154378707290584
0.1,0.7680348535241075,0.842537996767207,-0.07450314324309947,0.10184099054038534,0.22333333333333333,0.004091522810394275,0.0005130392407565889,0.056123614100124716,0.03613077721780969,0.00587979233030296,-0.08602753621049326,-0.06297875027570567
0.15,0.7636813508206005,0.842537996767207,-0.07885664594660646,0.10378613281821013,0.21666666666666667,0.004106945240093083,0.0005130392407565889,0.0552877747907809,0.03613077721780969,0.005992095172074386,-0.09060115248387227,-0.06711213940934066
0.2,0.763023606169852,0.842537996767207,-0.079514390597355,0.10776205797528816,0.22333333333333333,0.0036731767118116875,0.0005130392407565889,0.054578489371931174,0.03613077721780969,0.006221645318046067,-0.0917088154207253,-0.0673199657739847
0.25,0.7670007704138523,0.842537996767207,-0.07553722635335461,0.10365988540319758,0.23,0.0028669786040257444,0.0005130392407565889,0.05322639744702771,0.03613077721780969,0.005984806274170188,-0.08726744665072818,-0.06380700605598104
0.3,0.7700219394018718,0.842537996767207,-0.07251605736533523,0.0985902277912003,0.22666666666666666,0.0024429519741413475,0.0005130392407565889,0.05348802887931415,0.03613077721780969,0.005692109455471601,-0.08367259189805956,-0.06135952283261089
0.35,0.7698856978880255,0.842537996767207,-0.07265229887918151,0.09993860816934656,0.25666666666666665,0.002470440527724582,0.0005130392407565889,0.05144472190350258,0.03613077721780969,0.005769958232900877,-0.08396141701566723,-0.06134318074269579
0.4,0.7668108995462602,0.842537996767207,-0.07572709722094674,0.10655944098605752,0.23333333333333334,0.002010965294108363,0.0005130392407565889,0.05173460912434048,0.03613077721780969,0.006152212193799634,-0.08778543312079402,-0.06366876132109946
0.45,0.7686785866159354,0.842537996767207,-0.07385941015127162,0.1059633981958408,0.2633333333333333,0.002093257477662119,0.0005130392407565889,0.051841382632265426,0.03613077721780969,0.006117799647261619,-0.0858502974599044,-0.06186852284263885
0.5,0.7686463898181347,0.842537996767207,-0.07389160694907224,0.10494621249873262,0.24666666666666667,0.0027813883884281773,0.0005130392407565889,0.050712974835200354,0.03613077721780969,0.006059072403657494,-0.08576738886024092,-0.06201582503790355
0.55,0.7755300194849788,0.842537996767207,-0.06700797728222813,0.10303389432897796,0.28,0.0022429406732205354,0.0005130392407565889,0.050111623127528516,0.03613077721780969,0.005948664662649088,-0.07866736002102034,-0.055348594543435915
0.6,0.768778439001104,0.842537996767207,-0.07375955776610299,0.10508544349891467,0.2733333333333333,0.002492203170751728,0.0005130392407565889,0.05053983363254174,0.03613077721780969,0.006067110909200959,-0.08565109514813687,-0.06186802038406911
0.65,0.7699814778542258,0.842537996767207,-0.07255651891298118,0.10148799903126134,0.2633333333333333,0.002939440705320231,0.0005130392407565889,0.050253022175687286,0.03613077721780969,0.005859412356021521,-0.08404096713078335,-0.061072070695179
0.7,0.7702286769204008,0.842537996767207,-0.0723093198468063,0.10367863738516897,0.25,0.002797972800796266,0.0005130392407565889,0.05148585694300294,0.03613077721780969,0.00598588892035409,-0.08404166213070031,-0.06057697756291229
0.75,0.7663361270675875,0.842537996767207,-0.07620186969961949,0.10438888846518798,0.25666666666666665,0.001945219273585154,0.0005130392407565889,0.05116705918831724,0.03613077721780969,0.0060268952855782095,-0.08801458445935278,-0.0643891549398862
0.8,0.7702720046218011,0.842537996767207,-0.07226599214540579,0.10416493323478979,0.2733333333333333,0.0026716899860460192,0.0005130392407565889,0.050590021363215915,0.03613077721780969,0.006013965224322527,-0.08405336398507794,-0.06047862030573363
0.85,0.7674821296548198,0.842537996767207,-0.07505586711238722,0.1068199416697799,0.24,0.0026352188259688675,0.0005130392407565889,0.05075437545365782,0.03613077721780969,0.006167252207786754,-0.08714368143964926,-0.06296805278512518
0.9,0.7698540953089826,0.842537996767207,-0.07268390145822427,0.10566820627533076,0.24,0.001956175012382549,0.0005130392407565889,0.050632395804832746,0.03613077721780969,0.006100756733784711,-0.0846413846564423,-0.06072641826000624
0.95,0.7661909769429056,0.842537996767207,-0.0763470198243014,0.10585460120067237,0.22333333333333333,0.0019631201393189137,0.0005130392407565889,0.05023402665095922,0.03613077721780969,0.0061115182498168675,-0.08832559559394246,-0.06436844405466033
1.0,0.7677737127943304,0.842537996767207,-0.07476428397287659,0.11146950462980387,0.27666666666666667,0.002440425627368646,0.0005130392407565889,0.050940616037972494,0.03613077721780969,0.00643569485044515,-0.08737824587974907,-0.06215032206600409
